Generation	Generation_size_p	Avg_R_p	Generation_size_s	Avg_R_s	Sym_size_p	Asym_size_p	Sym_avg_p	Asym_avg_p	 Sym_size_s	Asym_size_s	Sym_avg_s	Asym_avg_s
61	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
62	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
63	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
64	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
65	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
66	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
67	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
68	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
69	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
70	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
71	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
72	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
73	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
74	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
75	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
76	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
77	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
78	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
79	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
80	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
81	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
82	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
83	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
84	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
85	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
86	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
87	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
88	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
89	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
90	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
91	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
92	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
93	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
94	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
95	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
96	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
97	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
98	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
99	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
100	0	-1.#IND00	0	-1.#IND00	0	0	-1.#IND00	-1.#IND00	0	0	-1.#IND00	-1.#IND00
